gtsam_id,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,bias_acc_x,bias_acc_y,bias_acc_z,bias_gyro_x,bias_gyro_y,bias_gyro_z,new_factors_error
47,-50.36551476353882,-0.09317437217879862,-0.4518449371651124,-7.459813919520211,-1.0684022388364178,-0.01131117985815572,-0.059213664546230595,0.04838112586654471,0.003226966685565825,-0.0002900907153510747,-8.828612390896843e-05,-0.010375373546911862,475.68143756361513
48,-51.573009671922705,-0.26848606888228044,-0.4448357969164913,-7.298494364093382,-1.012249347776302,-0.027062175482573947,-0.05114109863925097,0.04934488856852154,0.004766022352189023,-0.00026699195949067426,-0.0001460307897777915,-0.010310895090419925,182.11794825854255
49,-52.91005359221478,-0.45198412502487556,-0.4531755783809255,-7.143302846780827,-0.952220426811421,-0.08350592280292343,-0.04543129480412127,0.051358758451466195,0.00739610145099933,-0.00028829702830609257,-0.00011046035285239147,-0.010285425195034123,313.4082974981825
50,-54.29504485051224,-0.6463402891128459,-0.47095933272141083,-6.957575389012751,-0.9188635945715056,-0.1323168508255892,-0.04325275778065135,0.051399214879563816,0.006382009814955407,-0.0002989590344621497,-2.7226501617556493e-05,-0.010233165904570352,320.12464442956525
51,-58.05704890231029,-1.1652107547325328,-0.51409232152246,-6.402081963704309,-0.86898591729087,-0.001498221900085056,-0.05062860220309814,0.048350518097612545,0.0028430395757743088,-0.00032131996394536025,-2.8963774966689203e-05,-0.010019392391689847,198.80750529398142
52,-59.60776259863397,-1.378816161123025,-0.507971774461688,-6.20111191989602,-0.7780673418458665,0.02934516499183605,-0.05524780394649895,0.04760196376012883,0.0005323035048658449,-0.0003303009878519905,-5.68548691726258e-05,-0.009877856598516062,251.5964295090877
53,-60.907422519429005,-1.5399786443702779,-0.5071284863600496,-5.945054546066886,-0.658881846975534,0.011529368220199312,-0.05678903842899803,0.048841720909162015,0.0005438636098973602,-0.00028738547323360397,-6.595486236204785e-05,-0.009733649479107756,238.12712882094962
54,-62.13388670611926,-1.6609769443923608,-0.5128717253029798,-5.637888109791988,-0.4462778930840968,-0.02360958726750535,-0.05760527962749997,0.0497759258333057,0.0003140733255858841,-0.00031198460224050645,-4.745946632818827e-05,-0.009561345840946348,162.70624872875717
55,-63.229049760697684,-1.724671566842729,-0.5099699891298212,-5.2491302809432785,-0.16034856904784173,-0.003597201549088592,-0.05729918398479489,0.05073601529985467,-0.0012470328252470906,-0.0003623963149718503,-3.056265918701107e-05,-0.009364357066498338,186.94669484722917
56,-64.08478677379269,-1.7202053522352463,-0.5043762388509324,-4.8129085031237615,0.15347236642131362,-0.01577185105502725,-0.05585173174222463,0.0521637971549897,-0.001715508423431197,-0.0003824647488886364,-2.6950387578952254e-05,-0.00913605538698324,188.8915558231419
57,-64.88889508057987,-1.6557484806221767,-0.49577234485900595,-4.4610307624327685,0.4843833286992436,-0.0070413742172300755,-0.05432256119753059,0.05075196568299211,-0.0019354137637277225,-0.0003757522125721173,-4.322094725712651e-05,-0.008921269640087735,207.94985004099792
58,-65.96563182899555,-1.5426454404261791,-0.4994680162290553,-4.294052465320481,0.8552503384095741,0.00726823784209025,-0.055468621038102524,0.04608006309958315,-0.0019395471642016213,-0.0004365958366699677,-5.5026231262577656e-05,-0.00867765104280493,223.32006725227492
59,-67.18891388983059,-1.339814687954704,-0.5211698928779298,-4.14291059858268,1.2980138287255774,-0.03719936335358837,-0.05910381426872143,0.042979998352131496,-0.0013687796364537713,-0.00046353402487038997,-2.810788250002827e-05,-0.008459445376869773,203.87917251027753
60,-68.23583974141792,-1.0283690733351336,-0.5482159535259237,-4.0353586994379524,1.7128710680157373,-0.07631649006083195,-0.06346547961155174,0.04341283844919315,-0.0016916493121959583,-0.0004244437950352097,-7.777692752072033e-05,-0.008282202145296598,185.71780655885294
61,-69.1375307598783,-0.5985530334233754,-0.5705730237212432,-3.809495855740769,2.235853713639182,-0.015361495928271088,-0.06957195503054049,0.044616313149594196,-0.0018038159661355275,-0.0006428760409056351,-5.593604318814555e-05,-0.008174416808982416,133.58091743833145
62,-69.93778053769083,-0.07457553286093409,-0.594979805814471,-3.5419632941630095,2.592256122629013,-0.0752691274890438,-0.07372984567450211,0.04443387205954122,6.028745934434209e-05,-0.0005694592880825727,6.137094083645261e-05,-0.008030128328908606,81.43469886197043
63,-70.64585810869632,0.512308778396781,-0.6346721436268915,-3.382360339736501,2.99876992041576,-0.2217431859303129,-0.07629549119086795,0.04439903414731988,0.0002218326433368348,-0.0005041415584578066,0.00022628721472280387,-0.007858745710616602,147.00880184544735
64,-70.89774654622094,1.2285679484176184,-0.6127797789075237,-3.1280750217574225,3.6602571547231117,-0.1019312574260941,-0.08446421196180438,0.04818544838984251,-0.0005366313002637898,-0.0006664626093146086,0.0002603676687088304,-0.007746116647304106,63.25929245205101
65,-70.97279250018414,2.0709103745900337,-0.5702800060924663,-2.8412319926428915,4.295467713588486,-0.04956192627762179,-0.09054392427486008,0.04392940168900885,-0.0018307941762247125,-0.0008294393272677489,0.0002205200866311055,-0.007700053690673937,29.431125857065314
66,-71.32976042751575,3.010560885340006,-0.5132929849021479,-2.5053294780688877,4.880909578378453,0.029373524287575926,-0.09444814323314826,0.042084556119528785,-0.0042941989703444445,-0.0008162133936457492,0.00015456224998229448,-0.0077153783680205595,33.75853232038299
67,-71.77108281986666,4.055972240252767,-0.4873939369164798,-2.1384655004736186,5.3900999354300705,0.02926251684432289,-0.09588666752056813,0.04354894417528342,-0.0051608623265787905,-0.0008028681441425871,0.00011872314904030513,-0.007798608477391376,23.32528812884066
68,-72.0519858143686,5.21252483634401,-0.45190146427354144,-1.740989487882329,5.853648159767676,0.029841500231971952,-0.10034803290598479,0.04592469585504421,-0.004078610897711989,-0.0009503296313757171,0.00015187934292132683,-0.007936595221387984,30.841980061307755
69,-72.51848357394125,6.4725582316359835,-0.4695302878985952,-1.6218734532776893,6.255896442656753,-0.031644185053969064,-0.10206947572634949,0.0375763728814456,-0.0019874850238822427,-0.0009441327654283332,7.395814615609553e-05,-0.007978771695873896,23.26221596582762
70,-72.8370569708707,7.817479833742597,-0.5038917607829836,-1.5229162494290063,6.593699060792299,-0.0735669194804168,-0.10081453853276617,0.033537701341709074,-0.00040297903647880623,-0.0009239553599770849,5.02578131952839e-05,-0.007991527534912161,37.1219765895025
71,-73.10886021205877,9.224856890595936,-0.5118246013252801,-1.388036217810229,6.969300182288375,-0.12781724051688306,-0.10509776079302015,0.028292563118219767,0.0004499774297735094,-0.0010168121196911923,4.2446877247861856e-05,-0.007929851598472608,27.99633323770166
72,-73.36236051217017,10.714971274263245,-0.5300045042803972,-1.2778602224052662,7.341440355275493,-0.14143213044011965,-0.10962175799676449,0.02191517497724195,0.0011250448251377276,-0.001030231348713481,1.0518924028066942e-05,-0.00787222183518807,44.27372266395772
73,-73.60790535065765,12.263833284494945,-0.5521501505968104,-1.1194234078145133,7.625610304943817,-0.14200582303327577,-0.11023566416727984,0.020980867753530863,0.00046085058192164613,-0.0010411441627312726,8.436510563108895e-05,-0.007865279096770615,29.263283424924033
